Id;Length
0204;964301
0205;917521
0206;898701
0207;921328
0208;899369
0209;918901
0210;900902
0211;1886001
0212;1212268
0213;600601
0215;901601
0217;1800701
0218;1454600
0219;901799
0220;923173
0221;900301
0222;921586
0223;1195001
0224;630650
0225;900301
0226;624501
0227;897181
0228;1798501
0230;912363
0231;900601
0233;908304
0234;911791
0235;1151501
0236;600501
0237;900801
0238;908284
0239;1218801
0240;894254
0241;915052
0242;900709
0243;1195001
0244;921855
0245;1208201
0246;1205200
0247;918118
0248;1798001
0249;901401
0250;902001
0251;1134524
0252;1368593
0253;1195001
0254;900601
0255;901001
0256;900501
0257;899801
0258;900301
0259;611501
0260;604933
0261;1800701
0262;1200901
0263;900601
0264;629801
0265;903201
0266;1195001
0267;1195001
0268;1230299
0269;601401
0270;936499
0271;1798001
0272;633220
0273;1203400
0274;899297
0275;1930400
0276;902501
0277;1227201
0278;909500
0279;901601
0281;920434
0282;1216801
0283;1195001
0284;1352901
0285;662501
0286;663530
0287;899400
0288;899101
0289;1207904
0290;1212801
0291;1195001
0292;920337
0294;900178
0295;613806
0296;900700
0297;907399
0298;901201
0299;895571
0301;923311
0302;1195001
0303;900901
0304;898704
0305;600501
0306;1202201
0307;1244501
0308;1195001
0309;913101
0310;601801
0312;975601
0313;1195001
0314;1799900
0315;1204101
0316;899301
0317;2041500
0318;617016
0319;1195001
0320;1732601
0321;604401
0322;1200401
0323;900201
0324;912196
0325;1195001
0326;635807
0327;899001
0328;1195001
0329;1210001
0330;1352401
0331;1202401
0333;916301
0334;637083
0336;899319
0337;1800701
0338;1419700
0339;900301
0340;622501
0341;624301
0342;914424
0344;1799001
0345;1195001
0347;1195001
0348;915267
0349;1208488
0350;898745
0351;903301
0352;1195001
0353;600701
0354;1800501
0355;903201
0356;1203500
0357;1203600
0358;900501
0360;1188111
0361;1195001
0362;1798401
0363;1203101
0364;1800601
0365;910701
0366;902624
0367;1195001
0368;1217398
0369;922129
0370;900401
0371;917470
0372;903188
0373;1800401
0374;897854
0375;900754
0376;901411
0377;658523
0378;930133
0379;1222901
0380;1214986
0381;900201
0382;938800
0383;1195001
0384;1200501
0385;602801
0386;943616
0387;647301
0388;923795
0390;602552
0391;607901
0392;899201
0393;901501
0394;1247801
0395;1948600
0396;902047
0397;1195001
0398;621022
0401;1936800
0402;1434200
0403;1322101
0404;919227
0406;1026700
0407;1215801
0408;660001
0409;1210801
0410;1201137
0411;1861101
0412;1210701
0413;1800801
0414;900269
0415;1800501
0416;600401
0417;900800
0418;600506
0419;952001
0420;901601
0422;1195001
0423;1202701
0424;1800401
0425;922426
0426;1195001
0427;1203212
0428;676801
0429;1195001
0430;896461
0431;1797901
0432;1204230
0433;638487
0434;1805801
0435;1295101
0436;1198601
0437;1224800
0438;1195001
0439;1225961
0440;639759
0441;900801
0442;1336019
0444;1235401
0445;600601
0446;1206700
0447;1255200
0449;1201501
0450;1195001
0451;712579
0452;906301
0453;1272400
0454;899701
0455;901501
0456;907407
0457;636607
0458;650438
0460;933501
0461;899549
0462;900070
0463;928851
0464;900501
0465;1797801
0466;897306
0467;902395
0468;899801
0469;901201
0470;909880
0471;1800301
0472;920293
0473;600601
0474;908758
0475;901682
0476;920263
0477;918424
0479;902323
0480;614973
0481;1314301
0482;1203301
0483;1195001
0484;1277901
0485;1205101
0486;901587
0487;604901
0488;1856401
0489;1798701
0490;600401
0491;1798201
