id;k1;b1;D1;p-value linear 1;R_score1;AIC_linear1;kef x^2 (1);kef x (1);kef 1 (1);p-value quadr 1;R_score quadr 1;AIC_quadr1;k2;b2;D2;p-value linear 2;R_score2;AIC_linear2;kef x^2 (2);kef x (2);kef 1 (2);p-value quadr 2;R_score quadr 2;AIC_quadr2;k3;b3;D3;p-value linear 3;R_score3;AIC_linear3;kef x^2 (3);kef x (3);kef 1 (3);p-value quadr 3;R_score quadr 3;AIC_quadr3;k4;b4;D4;p-value linear 4;R_score4;AIC_linear4;kef x^2 (4);kef x (4);kef 1 (4);p-value quadr 4;R_score quadr 4;AIC_quadr4;;Average linear R_score;Average quadr R_score;AIC linear;AIC quadrio
44;-1,817;14,141;1,817;0;0,992;96,947;-0,041;-1,157;12,133;0;0,998;21,247;-1,819;14,134;1,819;0;0,992;97,823;-0,042;-1,153;12,108;0;0,998;22,087;-1,82;14,098;1,82;0;0,992;98,991;-0,041;-1,157;12,081;0;0,998;29,093;-1,818;14,067;1,818;0;0,992;98,963;-0,041;-1,165;12,079;0;0,998;33,668;;0,992;0,998;98,181;26,52375
45;-1,83;13,875;1,83;0;0,991;101,053;-0,039;-1,206;11,978;0;0,997;51,578;-1,83;13,871;1,83;0;0,991;101,292;-0,039;-1,208;11,978;0;0,997;52,704;-1,833;13,885;1,833;0;0,991;100,993;-0,04;-1,192;11,931;0;0,997;45,486;-1,835;13,871;1,835;0;0,992;100,167;-0,041;-1,186;11,897;0;0,998;40,075;;0,99125;0,99725;100,87625;47,46075
46;-1,765;14,052;1,765;0;0,988;111,751;-0,049;-0,98;11,664;0;0,998;27,506;-1,766;14,052;1,766;0;0,988;111,947;-0,05;-0,973;11,64;0;0,998;23,935;-1,764;14,041;1,764;0;0,988;111,599;-0,049;-0,978;11,649;0;0,998;25,863;-1,764;14,044;1,764;0;0,988;111,899;-0,049;-0,976;11,645;0;0,998;26,308;;0,988;0,998;111,799;25,903
47;-1,836;13,985;1,836;0;0,993;93,759;-0,039;-1,208;12,073;0;0,998;23,708;-1,838;13,989;1,838;0;0,993;93,816;-0,039;-1,21;12,08;0;0,998;24,276;-1,835;13,969;1,835;0;0,993;92,918;-0,038;-1,224;12,109;0;0,998;28,577;-1,836;13,962;1,836;0;0,993;93,317;-0,038;-1,227;12,109;0;0,998;31,145;;0,993;0,998;93,4525;26,9265
48;-1,81;13,894;1,81;0;0,992;99,057;-0,043;-1,129;11,822;0;0,998;19,336;-1,81;13,909;1,81;0;0,992;98,826;-0,043;-1,13;11,839;0;0,998;18,35;-1,809;13,893;1,809;0;0,992;98,534;-0,042;-1,133;11,834;0;0,998;19,285;-1,807;13,876;1,807;0;0,992;98,626;-0,042;-1,131;11,819;0;0,998;20,059;;0,992;0,998;98,76075;19,2575
49;-1,816;14,154;1,816;0;0,992;97,31;-0,041;-1,153;12,137;0;0,998;21,161;-1,815;14,151;1,815;0;0,992;97,235;-0,041;-1,153;12,135;0;0,998;21,086;-1,815;14,137;1,815;0;0,992;97,213;-0,041;-1,153;12,121;0;0,998;20,827;-1,814;14,127;1,814;0;0,992;97,058;-0,041;-1,155;12,123;0;0,998;22,41;;0,992;0,998;97,204;21,371
50;-1,812;13,927;1,812;0;0,991;104,277;-0,044;-1,108;11,784;0;0,998;32,712;-1,809;13,926;1,809;0;0,991;104,489;-0,044;-1,102;11,774;0;0,998;32,173;-1,807;13,917;1,807;0;0,991;104,29;-0,044;-1,101;11,768;0;0,998;31,637;-1,806;13,912;1,806;0;0,991;104,032;-0,044;-1,103;11,77;0;0,998;31,706;;0,991;0,998;104,272;32,057
52;-1,824;13,579;1,824;0;0,991;100,46;-0,042;-1,156;11,547;0;0,998;33,074;-1,825;13,562;1,825;0;0,991;100,88;-0,042;-1,155;11,523;0;0,998;33,877;-1,821;13,51;1,821;0;0,991;102,262;-0,042;-1,145;11,452;0;0,998;36,692;-1,819;13,507;1,819;0;0,991;102,201;-0,042;-1,143;11,45;0;0,998;36,817;;0,991;0,998;101,45075;35,115
53;-1,812;14,092;1,812;0;0,992;98,928;-0,043;-1,13;12,018;0;0,999;18,101;-1,814;14,094;1,814;0;0,992;98,323;-0,042;-1,136;12,03;0;0,999;17,071;-1,814;14,103;1,814;0;0,992;97,833;-0,042;-1,138;12,044;0;0,999;15,179;-1,813;14,105;1,813;0;0,992;97,794;-0,042;-1,141;12,061;0;0,998;18,265;;0,992;0,99875;98,2195;17,154
55;-1,811;13,735;1,811;0;0,99;106,795;-0,045;-1,086;11,527;0;0,998;33,826;-1,812;13,743;1,812;0;0,99;107,07;-0,046;-1,076;11,503;0;0,998;29,708;-1,81;13,731;1,81;0;0,99;106,62;-0,045;-1,087;11,532;0;0,998;34,453;-1,807;13,718;1,807;0;0,99;105,693;-0,044;-1,101;11,568;0;0,998;37,876;;0,99;0,998;106,5445;33,96575
